Year,Site,Plot,Area sampled (m2),BD (cm),DBH (cm),Diam (cm),Basal area (cm2 tree-1),Basal area (cm2 m-2),Stem biomass (g dry wt),Branch biomass (g dry wt),Foliage biomass (g dry wt),Total biomass SUM COMP (g dry wt),Tot biomass CALC ALLOM (g dry wt) ,Stem Carbon (g C m-2),Branch Carbon (g C m-2),Foliage Carbon (g C m-2),Total Tree Carbon SUM COMP (g C m-2),Tot Tree Carbon CALC ALLOM (g C m-2) ,,,,,,,,,Notes
2012,HDR,2,40,,1.9,1.9,2.84,0.07,313.41,249.86,100.11,663.39,651.08,3.68,3.00,1.15,7.83,7.65,,,,,,,,,
2012,HDR,2,40,,1.7,1.7,2.27,0.06,248.13,200.25,85.58,533.96,520.64,2.92,2.40,0.98,6.30,6.12,,,,,,,,,
2012,HDR,2,40,,2.2,2.2,3.80,0.10,426.40,334.51,123.10,884.01,874.19,5.01,4.01,1.42,10.44,10.27,,,,,,,,,
2012,HDR,2,40,,0.5,0.5,0.20,0.00,18.99,17.54,15.24,51.77,44.49,0.22,0.21,0.18,0.61,0.52,,,,,,,,,
2012,HDR,2,40,,1.2,1.2,1.13,0.03,119.40,100.13,52.37,271.90,258.52,1.40,1.20,0.60,3.21,3.04,,,,,,,,,
2012,HDR,2,40,,0.8,0.8,0.50,0.01,50.96,44.68,29.57,125.21,114.43,0.60,0.54,0.34,1.47,1.34,,,,,,,,,
2012,HDR,2,40,,0.8,0.8,0.50,0.01,50.96,44.68,29.57,125.21,114.43,0.60,0.54,0.34,1.47,1.34,,,,,,,,,
2012,HDR,2,40,,0.8,0.8,0.50,0.01,50.96,44.68,29.57,125.21,114.43,0.60,0.54,0.34,1.47,1.34,,,,,,,,,
2012,HDR,2,40,,0.8,0.8,0.50,0.01,50.96,44.68,29.57,125.21,114.43,0.60,0.54,0.34,1.47,1.34,,,,,,,,,
2012,HDR,2,40,,6.6,6.6,34.21,0.86,4283.25,2977.67,579.44,7840.36,7954.65,50.33,35.73,6.66,92.72,93.47,,,,,,,,,
2012,HDR,2,40,,4.1,4.1,13.20,0.33,1576.08,1154.58,296.13,3026.78,3055.16,18.52,13.85,3.41,35.78,35.90,,,,,,,,,
2012,HDR,2,40,,0.7,0.7,0.38,0.01,38.50,34.26,24.49,97.25,87.50,0.45,0.41,0.28,1.15,1.03,,,,,,,,,
2012,HDR,2,40,,1.7,1.7,2.27,0.06,248.13,200.25,85.58,533.96,520.64,2.92,2.40,0.98,6.30,6.12,,,,,,,,,
2012,HDR,2,40,,0.5,0.5,0.20,0.00,18.99,17.54,15.24,51.77,44.49,0.22,0.21,0.18,0.61,0.52,,,,,,,,,
2012,HDR,2,40,,1.1,1.1,0.95,0.02,99.46,84.21,46.33,230.00,217.04,1.17,1.01,0.53,2.71,2.55,,,,,,,,,
2012,HDR,2,40,,4,4,12.57,0.31,1496.43,1099.22,286.00,2881.64,2907.22,17.58,13.19,3.29,34.06,34.16,,,,,,,,,
2012,HDR,2,40,,1.4,1.4,1.54,0.04,165.04,136.07,65.09,366.21,352.42,1.94,1.63,0.75,4.32,4.14,,,,,,,,,
2012,HDR,2,40,,1,1,0.79,0.02,81.42,69.66,40.50,191.58,179.20,0.96,0.84,0.47,2.26,2.11,,,,,,,,,
2012,HDR,2,40,,0.7,0.7,0.38,0.01,38.50,34.26,24.49,97.25,87.50,0.45,0.41,0.28,1.15,1.03,,,,,,,,,
2012,HDR,2,40,,1.1,1.1,0.95,0.02,99.46,84.21,46.33,230.00,217.04,1.17,1.01,0.53,2.71,2.55,,,,,,,,,
2012,HDR,2,40,,0.5,0.5,0.20,0.00,18.99,17.54,15.24,51.77,44.49,0.22,0.21,0.18,0.61,0.52,,,,,,,,,
2012,HDR,2,40,,2.3,2.3,4.15,0.10,468.12,365.44,131.07,964.63,955.90,5.50,4.39,1.51,11.39,11.23,,,,,,,,,
2012,HDR,2,40,,1.6,1.6,2.01,0.05,218.47,177.49,78.57,474.53,460.91,2.57,2.13,0.90,5.60,5.42,,,,,,,,,
2012,HDR,2,40,,4.8,4.8,18.10,0.45,2194.51,1579.99,369.83,4144.33,4194.04,25.79,18.96,4.25,49.00,49.28,,,,,,,,,
2012,HDR,2,40,,0.8,0.8,0.50,0.01,50.96,44.68,29.57,125.21,114.43,0.60,0.54,0.34,1.47,1.34,,,,,,,,,
2012,HDR,2,40,,1.4,1.4,1.54,0.04,165.04,136.07,65.09,366.21,352.42,1.94,1.63,0.75,4.32,4.14,,,,,,,,,
2012,HDR,2,40,,5.2,5.2,21.24,0.53,2596.20,1852.81,414.02,4863.03,4926.12,30.51,22.23,4.76,57.50,57.88,,,,,,,,,
2012,HDR,2,40,,1.3,1.3,1.33,0.03,141.26,117.42,58.63,317.30,303.64,1.66,1.41,0.67,3.74,3.57,,,,,,,,,
2012,HDR,2,40,,1.1,1.1,0.95,0.02,99.46,84.21,46.33,230.00,217.04,1.17,1.01,0.53,2.71,2.55,,,,,,,,,
2012,HDR,2,40,,5.1,5.1,20.43,0.51,2492.46,1782.58,402.84,4677.87,4737.55,29.29,21.39,4.63,55.31,55.67,,,,,,,,,
2012,HDR,2,40,,1.4,1.4,1.54,0.04,165.04,136.07,65.09,366.21,352.42,1.94,1.63,0.75,4.32,4.14,,,,,,,,,
2012,HDR,2,40,,0.9,0.9,0.64,0.02,65.26,56.48,34.91,156.65,145.00,0.77,0.68,0.40,1.85,1.70,,,,,,,,,
2012,HDR,2,40,,2.2,2.2,3.80,0.10,426.40,334.51,123.10,884.01,874.19,5.01,4.01,1.42,10.44,10.27,,,,,,,,,
2012,HDR,2,40,,1.8,1.8,2.54,0.06,279.77,224.38,92.77,596.91,584.03,3.29,2.69,1.07,7.05,6.86,,,,,,,,,
2012,HDR,2,40,,2,2,3.14,0.08,349.06,276.72,107.62,733.39,721.79,4.10,3.32,1.24,8.66,8.48,,,,,,,,,
2012,HDR,2,40,,3,3,7.07,0.18,817.87,620.09,190.63,1628.59,1630.62,9.61,7.44,2.19,19.24,19.16,,,,,,,,,
2012,HDR,2,40,,2.2,2.2,3.80,0.10,426.40,334.51,123.10,884.01,874.19,5.01,4.01,1.42,10.44,10.27,,,,,,,,,
2012,HDR,2,40,,1.7,1.7,2.27,0.06,248.13,200.25,85.58,533.96,520.64,2.92,2.40,0.98,6.30,6.12,,,,,,,,,
2012,HDR,2,40,,3.3,3.3,8.55,0.21,999.10,749.59,218.05,1966.75,1974.93,11.74,9.00,2.51,23.24,23.21,,,,,,,,,
